time_us,x,y,rz_rad,s0,s1,s2,s3
6586615.000000,246.000000,144.000000,1.426808,-1.000000,-1.000000,50.100433,60.277161
6600279.000000,246.000000,144.000000,1.439898,-1.000000,-1.000000,51.026039,58.628372
6621208.000000,246.000000,144.000000,1.452988,-1.000000,-1.000000,179.390884,57.046539
6634831.000000,246.000000,144.000000,1.466078,-1.000000,-1.000000,181.717148,55.527821
6649008.000000,246.000000,144.000000,1.479168,-1.000000,-1.000000,184.127518,54.068699
6669808.000000,246.000000,144.000000,1.492258,-1.000000,-1.000000,186.625687,52.665867
6683761.000000,246.000000,144.000000,1.505348,-1.000000,-1.000000,189.215347,51.316341
6704334.000000,246.000000,144.000000,1.518438,-1.000000,-1.000000,191.900696,50.017246
6718289.000000,246.000000,144.000000,1.531528,-1.000000,-1.000000,189.962738,48.766006
6732038.000000,246.000000,144.000000,1.544618,-1.000000,-1.000000,187.117798,47.560165
6752933.000000,246.000000,144.000000,1.557708,-1.000000,-1.000000,184.388702,46.397457
6766772.000000,246.000000,144.000000,1.570798,-1.000000,-1.000000,181.769821,45.275799
6787578.000000,246.000000,144.000000,1.583888,-1.000000,-1.000000,179.255966,44.193150
6801329.000000,246.000000,144.000000,1.596978,-1.000000,-1.000000,176.842255,43.282341
6815342.000000,246.000000,144.000000,1.610068,-1.000000,-1.000000,174.524231,42.269459
6836168.000000,246.000000,144.000000,1.623158,-1.000000,-1.000000,172.297623,41.290531
6850037.000000,246.000000,144.000000,1.636248,-1.000000,-1.000000,170.158508,40.344051
6870843.000000,246.000000,144.000000,1.649338,-1.000000,-1.000000,168.103104,39.428566
6884756.000000,246.000000,144.000000,1.662428,-1.000000,-1.000000,166.127945,38.542740
6898568.000000,246.000000,144.000000,1.675518,-1.000000,191.759354,164.229767,37.685299
6919348.000000,246.000000,144.000000,1.688608,-1.000000,168.528519,162.405411,36.855057
6933344.000000,246.000000,144.000000,1.701698,-1.000000,149.987122,160.652115,36.050922
6954095.000000,246.000000,144.000000,1.714788,-1.000000,134.900696,158.967041,35.271786
6967912.000000,246.000000,144.000000,1.727878,-1.000000,122.331940,157.347656,34.516674
6981850.000000,246.000000,144.000000,1.740968,-1.000000,111.725464,155.791550,33.784657
7002682.000000,246.000000,144.000000,1.754058,-1.000000,102.660637,154.296356,33.074841
7016516.000000,246.000000,144.000000,1.767148,-1.000000,94.829086,152.860077,32.386364
7037382.000000,246.000000,144.000000,1.780238,-1.000000,87.999649,151.480530,31.718451
7051065.000000,246.000000,144.000000,1.793328,-1.000000,81.995377,150.155884,31.070351
7065068.000000,246.000000,144.000000,1.806418,-1.000000,76.678856,148.884308,30.441326
7085843.000000,246.000000,144.000000,1.819508,-1.000000,71.941589,147.664063,29.830736
7099714.000000,246.000000,144.000000,1.832598,-1.000000,67.696671,146.493591,29.237926
7120542.000000,246.000000,144.000000,1.845688,-1.000000,63.873779,145.371292,28.662291
7134519.000000,246.000000,144.000000,1.858778,195.489243,60.415485,144.295792,28.103262
7148334.000000,246.000000,144.000000,1.871868,186.124008,57.274239,143.265701,27.560291
7169326.000000,246.000000,144.000000,1.884958,177.540237,54.410534,142.279663,27.032839
7183005.000000,246.000000,144.000000,1.898048,169.644165,51.791039,141.336533,26.520428
7204187.000000,246.000000,144.000000,1.911138,162.356461,49.387703,140.435120,26.022610
7217550.000000,246.000000,144.000000,1.924228,155.609497,47.457302,139.574326,25.538921
7231553.000000,246.000000,144.000000,1.937318,149.345215,45.403072,138.960434,25.068918
7252377.000000,246.000000,144.000000,1.950408,143.513870,43.504089,-1.000000,24.612230
7266411.000000,246.000000,144.000000,1.963498,138.088013,41.744904,-1.000000,24.168489
7287015.000000,246.000000,144.000000,1.976588,132.999527,40.112099,-1.000000,23.737280
