time,x,y,z,ax,ay,az,aw
1526153130.85,-1.85499882698,0.109416134655,4.37280035019,-0.00366600217706,-0.252362690763,0.00153735564911,0.967624549749,
1526153130.92,-1.87047064304,0.112282752991,4.38130092621,-0.00290702259111,-0.252648401584,0.00108291763092,0.967553182872,
1526153131.05,-1.88318419456,0.110967800021,4.3927488327,-0.00326433654078,-0.254841465291,0.00142312710005,0.966976290498,
1526153131.14,-1.89547169209,0.114108771086,4.40378046036,-0.00263874696455,-0.255289276372,0.00100511424052,0.966860596016,
1526153131.25,-1.90801036358,0.113159812987,4.41449403763,-0.00297271847786,-0.257307406877,0.00137280079766,0.966324053684,
1526153131.35,-1.92420446873,0.115691527724,4.42927694321,-0.00276754233424,-0.257536188742,0.001356500944,0.966263738377,
1526153131.44,-1.93728613853,0.114693202078,4.44024133682,-0.00310213961512,-0.259367344511,0.0017494442008,0.965772176435,
1526153131.54,-1.9549728632,0.118624322116,4.45192289352,-0.00251741262307,-0.259829512039,0.00141626478528,0.965650185886,
1526153131.65,-1.96862542629,0.11752935499,4.46259212494,-0.00284304437662,-0.261467621046,0.00180130021178,0.965206379776,
1526153131.74,-1.98524618149,0.118604384363,4.48041963577,-0.00275547106688,-0.262144343529,0.001712890518,0.965023220726,
1526153131.85,-1.99841248989,0.117940239608,4.49118757248,-0.00307115167339,-0.263624612329,0.00214435931365,0.964618076507,
1526153131.95,-2.01968502998,0.118764348328,4.51000785828,-0.00306147603825,-0.264771220889,0.00180027353671,0.964304716865,
1526153132.05,-2.03351449966,0.118166461587,4.52107954025,-0.00339751851276,-0.26617575048,0.00219484831911,0.963916028171,
1526153132.16,-2.05241346359,0.123101077974,4.53843593597,-0.00342405844337,-0.267533695461,0.00185457599181,0.963540636488,
1526153132.24,-2.06619787216,0.122695699334,4.54994487762,-0.00377090786057,-0.268862540747,0.00226248104636,0.963168518805,
1526153132.36,-2.08651280403,0.12592202425,4.56740951538,-0.00325420363158,-0.270227068371,0.00196236878211,0.962789120621,
1526153132.46,-2.0989253521,0.125700429082,4.5786819458,-0.00346180746169,-0.271562337201,0.00237524505718,0.962411695229,
1526153132.56,-2.11898803711,0.125984430313,4.59694290161,-0.00332720104972,-0.272917841101,0.00195827424119,0.962029597728,
1526153132.65,-2.1316716671,0.126013472676,4.60787677765,-0.0035120463413,-0.274218114286,0.00228166212362,0.961658403668,
1526153132.76,-2.14847779274,0.12609179318,4.6225476265,-0.00320147133797,-0.27545809127,0.00173655847613,0.961306181661,
1526153132.86,-2.16113710403,0.126776218414,4.63310337067,-0.0031677723151,-0.276812507965,0.00195109830427,0.960916746585,
1526153132.96,-2.18207478523,0.129232153296,4.64922523499,-0.00308002655605,-0.278092751389,0.00161875204337,0.960547924209,
1526153133.05,-2.19458317757,0.129798740149,4.66046857834,-0.00311720667445,-0.279500471279,0.00178458089862,0.960138836236,
1526153133.15,-2.21843695641,0.131514415145,4.68123435974,-0.00322294133218,-0.281373962178,0.00164011713366,0.959591379741,
1526153133.25,-2.23155522346,0.132362723351,4.6922082901,-0.0031366860672,-0.282855987665,0.00177883865223,0.959155611554,
1526153133.37,-2.26580095291,0.128234028816,4.72206640244,-0.00369471633762,-0.284983987411,0.0017259905791,0.958523602707,
1526153133.47,-2.27890086174,0.128680378199,4.73403596878,-0.00377906410229,-0.286500313339,0.00192745911678,0.958070756277,
1526153133.57,-2.31910657883,0.130526870489,4.76227712631,-0.00390791125887,-0.288936841176,0.00181941797818,0.957338456221,
1526153133.67,-2.33297324181,0.131463840604,4.77470064163,-0.00381026572347,-0.29054115607,0.00200469612861,0.95685280984,
1526153133.76,-2.37374067307,0.128260761499,4.80610466003,-0.00385097244857,-0.293331670644,0.00178791235448,0.95600130982,
1526153133.86,-2.39212989807,0.13059283793,4.82350969315,-0.00385501319123,-0.295427494143,0.00212841561482,0.955355014863,
1526153133.97,-2.44042038918,0.136832103133,4.85990190506,-0.0037214399271,-0.298663451185,0.00199050002669,0.954349166564,
1526153134.07,-2.45979738235,0.138950154185,4.87696838379,-0.00371274026771,-0.300790111569,0.00231452329431,0.953680327638,
1526153134.17,-2.50431013107,0.137281194329,4.90650653839,-0.0040667737711,-0.303480617691,0.00218324820633,0.952826431972,
1526153134.27,-2.52396535873,0.139693036675,4.92359542847,-0.00401084423782,-0.305640438561,0.00247670313649,0.952135337747,
1526153134.37,-2.57654285431,0.137783169746,4.95563983917,-0.00449709165073,-0.308759438126,0.00240627458705,0.951126487581,
